,Country,Industry,Gas_Type,F2010,F2011,F2012,F2013,F2014,F2015,F2016,F2017,F2018,F2019,F2020,F2021
432,Europe,Total Industry and Households,Fluorinated gases,1.425950438,1.436794656,1.463466562,1.351838045,1.439149904,1.326239885,1.389804129,1.56328195,1.629953467,1.792008538,1.615388535,1.759775273
433,Europe,Total Industry and Households,Greenhouse gas,7672.05189,7609.609029,7537.432075,7360.556344,7118.791265,7092.373117,7087.451006,7128.751434,7136.777077,6949.534067,6533.553057,7017.902685
434,Europe,Total Industry and Households,Methane,919.5601145,914.6932653,907.0114624,889.5476838,873.4229168,855.1201695,854.385961,846.1280748,853.5823548,845.3870564,817.7767922,886.8344703
435,Europe,Total Industry and Households,Nitrous oxide,366.4540294,372.0665381,366.1393636,371.6532343,374.770764,372.8005238,379.4548746,384.0232299,383.0077726,381.8381595,369.7843383,392.6817904
436,Europe,Transportation and Storage,Carbon dioxide,683.6503056,690.4313923,666.4225904,654.6332977,645.8575045,689.6435609,681.805719,707.3695014,732.0307091,718.2023974,587.2775542,624.1623176
437,Europe,Transportation and Storage,Greenhouse gas,704.3021816,711.3057384,687.2840277,675.6414083,666.9956489,711.8456264,704.6378403,729.8567678,754.1128304,740.7614479,608.2722479,646.2882421
438,Europe,Transportation and Storage,Methane,13.47182128,13.44782631,13.47848394,13.67402178,13.530036,14.1817249,14.77969019,14.0716754,13.24627591,13.69748208,13.35119835,14.15834025
439,Europe,Transportation and Storage,Nitrous oxide,7.180054685,7.426519829,7.38295332,7.334088851,7.608108414,8.020340571,8.052431127,8.415591079,8.835845398,8.861568455,7.643495356,7.967584318
440,Europe,"Water supply; sewerage, waste management and remediation activities",Carbon dioxide,46.5295756,45.31337126,47.81647466,47.72346035,43.29346517,43.97805443,44.94309,45.65349625,45.55037241,44.4939093,42.75153606,43.80345684
441,Europe,"Water supply; sewerage, waste management and remediation activities",Greenhouse gas,298.963718,294.4198523,295.1261922,292.1228561,284.9471227,282.4427951,281.8,283.4439909,283.8855163,282.3634261,269.5765033,289.2781442
442,Europe,"Water supply; sewerage, waste management and remediation activities",Methane,237.41089,234.2983451,232.4256764,229.1316417,226.5855155,223.5125006,221.8156567,222.7332806,223.2891687,222.7797975,212.3214809,230.065444
443,Europe,"Water supply; sewerage, waste management and remediation activities",Nitrous oxide,15.02325245,14.80813595,14.88404111,15.26775411,15.06814205,14.95224012,15.04125321,15.05721408,15.04597513,15.08971928,14.50348636,15.40924336
534,Latin America and the Caribbean,"Agriculture, Forestry and Fishing",Carbon dioxide,32.48736915,32.86146826,32.31278298,34.79294171,38.37684858,32.57726125,34.3626893,34.11552597,34.52902093,34.26818301,33.91362301,36.20803643
535,Latin America and the Caribbean,"Agriculture, Forestry and Fishing",Greenhouse gas,1015.040403,1032.008282,1033.09989,1054.574408,1070.987811,1074.076298,1089.296928,1089.450214,1085.749514,1070.687317,983.9049363,1073.576805
